,authors,title,venue,year,type,id,cited by,title_ranking
2290,"Nawaf A. Abdulla, Mahmoud Al-Ayyoub, Mohammed Naji Al-Kabi",An extended analytical study of Arabic sentiments.,Int. J. Big Data Intell.,2014,Journal Articles,anextendedanalyticalstudyofarabicsentiments2014,,extended analytical study Arabic sentiments
2291,"Chahira Lhioui, Anis Zouaghi, Mounir Zrigui",Towards a Hybrid Approach to Semantic Analysis of Spontaneous Arabic Speech.,Int. J. Comput. Linguistics Appl.,2014,Journal Articles,towardsahybridapproachtosemanticanalysisofspontaneousarabicspeech2014,,Towards Hybrid Approach Semantic Analysis Spontaneous Arabic Speech
2292,Tarek El-Shishtawy,Linking Databases using Matched Arabic Names.,Int. J. Comput. Linguistics Chin. Lang. Process.,2014,Journal Articles,linkingdatabasesusingmatchedarabicnames2014,,Linking Databases Matched Arabic Names
2293,"Gheith A. Abandah, Fuad T. Jamour, Esam A. Al Qaralleh",Recognizing handwritten Arabic words using grapheme segmentation and recurrent neural networks.,Int. J. Document Anal. Recognit.,2014,Journal Articles,recognizinghandwrittenarabicwordsusinggraphemesegmentationandrecurrentneuralnetworks2014,45.0,Recognizing handwritten Arabic words grapheme segmentation recurrent neural networks
2294,"Kazim Fouladi, Babak Nadjar Araabi, Ehsanollah Kabir",A fast and accurate contour-based method for writer-dependent offline handwritten Farsi/Arabic subwords recognition.,Int. J. Document Anal. Recognit.,2014,Journal Articles,afastandaccuratecontourbasedmethodforwriterdependentofflinehandwrittenfarsiarabicsubwordsrecognition2014,,fast accurate contourbased method writerdependent offline handwritten FarsiArabic subwords recognition
2295,"Rami Ayadi, Mohsen Maraoui, Mounir Zrigui",Latent Topic Model for Indexing Arabic Documents.,Int. J. Inf. Retr. Res.,2014,Journal Articles,latenttopicmodelforindexingarabicdocuments2014,14.0,Latent Topic Model Indexing Arabic Documents
2296,"Rami Ayadi, Mohsen Maraoui, Mounir Zrigui",Latent Topic Model for Indexing Arabic Documents.,Int. J. Inf. Retr. Res.,2014,Journal Articles,latenttopicmodelforindexingarabicdocuments2014,14.0,Latent Topic Model Indexing Arabic Documents
2297,"Nawaf A. Abdulla, Nizar A. Ahmed, Mohammed A. Shehab, Mahmoud Al-Ayyoub, Mohammed Naji Al-Kabi, Saleh Y. Al-Rifai",Towards Improving the Lexicon-Based Approach for Arabic Sentiment Analysis.,Int. J. Inf. Technol. Web Eng.,2014,Journal Articles,towardsimprovingthelexiconbasedapproachforarabicsentimentanalysis2014,,Towards Improving LexiconBased Approach Arabic Sentiment Analysis
2298,"Marwan Akeel, R. B. Mishra",ANN and case-based reasoning methods for English to Arabic machine translation.,Int. J. Knowl. Eng. Soft Data Paradigms,2014,Journal Articles,annandcasebasedreasoningmethodsforenglishtoarabicmachinetranslation2014,,ANN casebased reasoning methods Arabic machine translation
2299,"Abdul Rahman I. Al-Ghadir, Abdullatif AlAbdullatif, Aqil M. Azmi",Gender Inference for Arabic Language in Social Media.,Int. J. Knowl. Soc. Res.,2014,Journal Articles,genderinferenceforarabiclanguageinsocialmedia2014,,Gender Inference Arabic Language Social
2300,Esam Alwagait,Arabic Observatory for Websites and Social Media (AOWSM).,Int. J. Knowl. Soc. Res.,2014,Journal Articles,arabicobservatoryforwebsitesandsocialmediaaowsm2014,,Arabic Observatory Websites Social AOWSM
2301,"Afef Kacem Echi, Imen Ben Cheikh, Abdel Belaïd",Collaborative Combination of Neuron-Linguistic Classifiers for Large Arabic Word vocabulary Recognition.,Int. J. Pattern Recognit. Artif. Intell.,2014,Journal Articles,collaborativecombinationofneuronlinguisticclassifiersforlargearabicwordvocabularyrecognition2014,,Collaborative Combination NeuronLinguistic Classifiers Arabic Word vocabulary Recognition
2302,"Fayçal Imedjdouben, Amrane Houacine",Development of an automatic phonetization system for Arabic text-to-speech synthesis.,Int. J. Speech Technol.,2014,Journal Articles,developmentofanautomaticphonetizationsystemforarabictexttospeechsynthesis2014,,Development automatic phonetization system Arabic texttospeech synthesis
2303,"Nabil M. Hewahi, Ghadeer Abu-Shaban, Esraa El-Ashqer, Ayat Abu-Noqaira, Nour El-Wadiya",Arabic Braille Touch Keyboard for Android Users.,Int. J. Technol. Diffusion,2014,Journal Articles,arabicbrailletouchkeyboardforandroidusers2014,,Arabic Braille Touch Keyboard Android Users
2304,"Mohammed Arif, Aman Gupta",Assessing the Usability for Arabic Language Websites.,Int. J. Technol. Hum. Interact.,2014,Journal Articles,assessingtheusabilityforarabiclanguagewebsites2014,,Assessing Usability Arabic Language Websites
2305,"Meshrif Alruily, Aladdin Ayesh, Hussein Zedan",Crime profiling for the Arabic language using computational linguistic techniques.,Inf. Process. Manag.,2014,Journal Articles,crimeprofilingforthearabiclanguageusingcomputationallinguistictechniques2014,23.0,Crime profiling Arabic language computational linguistic techniques
2306,"Aisha Adel, Nazlia Omar, Adel Al-Shabi",A Comparative Study of combined Feature Selection Methods for Arabic Text Classification.,J. Comput. Sci.,2014,Journal Articles,acomparativestudyofcombinedfeatureselectionmethodsforarabictextclassification2014,,Comparative Study combined Feature Selection Methods Arabic Text Classification
2307,"Ahmed Jumaa Alsaket, Mohd Juzaiddin Ab Aziz",Arabic-Malay Machine Translation using Rule-based Approach.,J. Comput. Sci.,2014,Journal Articles,arabicmalaymachinetranslationusingrulebasedapproach2014,,ArabicMalay Machine Translation Rulebased Approach
2308,"Khalid Khalifa, Nazlia Omar",A Hybrid method using Lexicon-based Approach and Naive Bayes Classifier for Arabic Opinion Question Answering.,J. Comput. Sci.,2014,Journal Articles,ahybridmethodusinglexiconbasedapproachandnaivebayesclassifierforarabicopinionquestionanswering2014,,Hybrid method Lexiconbased Approach Naive Bayes Classifier Arabic Opinion Question Answering
2309,"Rund Mahafdah, Nazlia Omar, Omaia Al-Omari",Arabic Part of speech Tagging using k-Nearest Neighbour and Naive Bayes Classifiers Combination.,J. Comput. Sci.,2014,Journal Articles,arabicpartofspeechtaggingusingknearestneighbourandnaivebayesclassifierscombination2014,,Arabic speech Tagging kNearest Neighbour Naive Bayes Classifiers Combination
2310,"Nidal Yousef, Aymen M. Abu-Errub, Ashraf Odeh, Hayel Khafajeh",An Improved Arabic Word&apos;s roots Extraction method using n-Gram Technique.,J. Comput. Sci.,2014,Journal Articles,animprovedarabicwordapossrootsextractionmethodusingngramtechnique2014,,Improved Arabic Wordaposs roots Extraction method nGram Technique
2311,"Karima Dhouib, Faïez Gargouri",A textual jurisprudence decision structuring methodology based on extraction patterns and Arabic legal ontology.,J. Decis. Syst.,2014,Journal Articles,atextualjurisprudencedecisionstructuringmethodologybasedonextractionpatternsandarabiclegalontology2014,,textual jurisprudence decision structuring methodology based extraction patterns Arabic legal ontology
2312,"Lahsen Abouenour, Mohammed Nasri, Karim Bouzoubaa, Adil Kabbaj, Paolo Rosso",Construction of an ontology for intelligent Arabic QA systems leveraging the Conceptual Graphs representation.,J. Intell. Fuzzy Syst.,2014,Journal Articles,constructionofanontologyforintelligentarabicqasystemsleveragingtheconceptualgraphsrepresentation2014,8.0,Construction ontology intelligent Arabic QA systems leveraging Conceptual Graphs representation
2313,"Houcine Boubaker, Najiba Tagougui, Haikal El Abed, Monji Kherallah, Adel M. Alimi",Graphemes Segmentation for Arabic Online Handwriting Modeling.,J. Inf. Process. Syst.,2014,Journal Articles,graphemessegmentationforarabiconlinehandwritingmodeling2014,,Graphemes Segmentation Arabic Online Handwriting Modeling
2314,"Rehab M. Duwairi, Mahmoud El-Orfali",A study of the effects of preprocessing strategies on sentiment analysis for Arabic text.,J. Inf. Sci.,2014,Journal Articles,astudyoftheeffectsofpreprocessingstrategiesonsentimentanalysisforarabictext2014,108.0,study effects preprocessing strategies sentiment analysis Arabic text
2315,"Khaled Shaalan, Mai Oudah",A hybrid approach to Arabic named entity recognition.,J. Inf. Sci.,2014,Journal Articles,ahybridapproachtoarabicnamedentityrecognition2014,,hybrid approach Arabic named entity recognition
2316,"Mohammed Q. Shatnawi, Qusai Q. Abuein, Reem Mahafza",Classical to slang conversion for retrieving Arabic documents using slang queries.,J. Inf. Sci.,2014,Journal Articles,classicaltoslangconversionforretrievingarabicdocumentsusingslangqueries2014,,Classical slang conversion retrieving Arabic documents slang queries
2317,"Qussai Yaseen, Ismail Hmeidi",Extracting the roots of Arabic words without removing affixes.,J. Inf. Sci.,2014,Journal Articles,extractingtherootsofarabicwordswithoutremovingaffixes2014,,Extracting roots Arabic words removing affixes
2318,Hend S. Al-Khalifa,Introduction to the special issue on Arabic NLP - Current state and future challenges.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,introductiontothespecialissueonarabicnlpcurrentstateandfuturechallenges2014,,Introduction special issue Arabic NLP Current future challenges
2319,"Hanan M. Alghamdi, Ali Selamat, Nor Shahriza Abdul Karim",Arabic web pages clustering and annotation using semantic class features.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,arabicwebpagesclusteringandannotationusingsemanticclassfeatures2014,,Arabic web pages clustering annotation semantic class features
2320,"Alaa Saleh Altheneyan, Mohamed El Bachir Menai",Naïve Bayes classifiers for authorship attribution of Arabic texts.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,naïvebayesclassifiersforauthorshipattributionofarabictexts2014,81.0,Naïve Bayes classifiers authorship attribution Arabic texts
2321,"Tressy Arts, Yonatan Belinkov, Nizar Habash, Adam Kilgarriff, Vit Suchomel",arTenTen - Arabic Corpus and Word Sketches.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,artentenarabiccorpusandwordsketches2014,45.0,arTenTen Arabic Corpus Word Sketches
2322,"Ines Boujelben, Salma Jamoussi, Abdelmajid Ben Hamadou",A hybrid method for extracting relations between Arabic named entities.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,ahybridmethodforextractingrelationsbetweenarabicnamedentities2014,24.0,hybrid method extracting relations Arabic named entities
2323,"Iskandar Keskes, Farah Benamara Zitoune, Lamia Hadrich Belguith",Learning explicit and implicit Arabic discourse relations.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,learningexplicitandimplicitarabicdiscourserelations2014,,Learning explicit implicit Arabic discourse relations
2324,"Fawaz H. H. Mahyoub, Muazzam Ahmed Siddiqui, Mohamed Yehia Dahab",Building an Arabic Sentiment Lexicon Using Semi-supervised Learning.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,buildinganarabicsentimentlexiconusingsemisupervisedlearning2014,87.0,Building Arabic Sentiment Lexicon Semisupervised Learning
2325,"Houda Oufaida, Omar Nouali, Philippe Blache",Minimum redundancy and maximum relevance for single and multi-document Arabic text summarization.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,minimumredundancyandmaximumrelevanceforsingleandmultidocumentarabictextsummarization2014,,Minimum redundancy maximum relevance single multidocument Arabic text summarization
2326,"Wael Salloum, Nizar Habash",ADAM - Analyzer for Dialectal Arabic Morphology.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,adamanalyzerfordialectalarabicmorphology2014,31.0,ADAM Analyzer Dialectal Arabic Morphology
2327,"Mohammed G. H. al Zamil, Qasem A. Al-Radaideh",Automatic extraction of ontological relations from Arabic text.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,automaticextractionofontologicalrelationsfromarabictext2014,39.0,Automatic extraction ontological relations Arabic text
2328,"Zied Kechaou, Slim Kanoun",A new-arabic-text classification system using a Hidden Markov Model.,Int. J. Knowl. Based Intell. Eng. Syst.,2014,Journal Articles,anewarabictextclassificationsystemusingahiddenmarkovmodel2014,,newarabictext classification system Hidden Markov Model
2329,"Mohammad Amin Shayegan, Saeed Aghabozorgi",A new method for Arabic/Farsi numeral data set size reduction via modified frequency diagram matching.,Kybernetes,2014,Journal Articles,anewmethodforarabicfarsinumeraldatasetsizereductionviamodifiedfrequencydiagrammatching2014,2.0,method ArabicFarsi numeral data set size reduction via modified frequency diagram matching
2330,"Mohammed Attia, Pavel Pecina, Antonio Toral, Josef van Genabith",A corpus-based finite-state morphological toolkit for contemporary arabic.,J. Log. Comput.,2014,Journal Articles,acorpusbasedfinitestatemorphologicaltoolkitforcontemporaryarabic2014,,corpusbased finitestate morphological toolkit contemporary arabic
2331,"Maytham Alabbas, Zainab Ali Khalaf, Khashan M. Khashan",BASRAH - an automatic system to identify the meter of Arabic poetry.,Nat. Lang. Eng.,2014,Journal Articles,basrahanautomaticsystemtoidentifythemeterofarabicpoetry2014,,BASRAH automatic system identify meter Arabic poetry
2332,Ina Blau,Comparing online opportunities and risks among Israeli children and youth Hebrew and Arabic speakers.,New Rev. Hypermedia Multim.,2014,Journal Articles,comparingonlineopportunitiesandrisksamongisraelichildrenandyouthhebrewandarabicspeakers2014,,Comparing online opportunities risks Israeli children youth Hebrew Arabic speakers
2333,"Youssouf Chherawala, Mohamed Cheriet",Arabic word descriptor for handwritten word indexing and lexicon reduction.,Pattern Recognit.,2014,Journal Articles,arabicworddescriptorforhandwrittenwordindexingandlexiconreduction2014,,Arabic word descriptor handwritten word indexing lexicon reduction
2334,"Muna Khayyat, Louisa Lam, Ching Y. Suen",Learning-based word spotting system for Arabic handwritten documents.,Pattern Recognit.,2014,Journal Articles,learningbasedwordspottingsystemforarabichandwrittendocuments2014,,Learningbased word spotting system Arabic handwritten documents
2335,"Hamzah Luqman, Sabri A. Mahmoud, Sameh Awaida",KAFD Arabic font database.,Pattern Recognit.,2014,Journal Articles,kafdarabicfontdatabase2014,27.0,KAFD Arabic font database
2336,"Mohammed Lutf, Xinge You, Yiu-ming Cheung, C. L. Philip Chen",Arabic font recognition based on diacritics features.,Pattern Recognit.,2014,Journal Articles,arabicfontrecognitionbasedondiacriticsfeatures2014,,Arabic font recognition based diacritics features
2337,"Sabri A. Mahmoud, Irfan Ahmad, Wasfi G. Al-Khatib, Mohammad Alshayeb, Mohammad Tanvir Parvez, Volker Märgner, Gernot A. Fink",KHATT - An open Arabic offline handwritten text database.,Pattern Recognit.,2014,Journal Articles,khattanopenarabicofflinehandwrittentextdatabase2014,101.0,KHATT Arabic offline handwritten text database
2338,"Sirine Boukedi, Kais Haddar",HPSG Grammar Treating of Different Forms of Arabic Coordination.,Res. Comput. Sci.,2014,Journal Articles,hpsggrammartreatingofdifferentformsofarabiccoordination2014,7.0,HPSG Grammar Treating Forms Arabic Coordination
2339,"Tarek Elghazaly, Abdelmawgoud Mohamed Maabid",Assessment Criteria for Benchmarking Arabic Morphological Analyzers and Generators.,Res. Comput. Sci.,2014,Journal Articles,assessmentcriteriaforbenchmarkingarabicmorphologicalanalyzersandgenerators2014,,Assessment Criteria Benchmarking Arabic Morphological Analyzers Generators
2340,"Iskandar Keskes, Farah Benamara Zitoune, Lamia Hadrich Belguith",Splitting Arabic Texts into Elementary Discourse Units.,ACM Trans. Asian Lang. Inf. Process.,2014,Journal Articles,splittingarabictextsintoelementarydiscourseunits2014,,Splitting Arabic Texts Elementary Discourse Units
2341,"Jannik Strötgen, Ayser Armiti, Tran Van Canh, Julian Zell, Michael Gertz 0001","Time for More Languages - Temporal Tagging of Arabic, Italian, Spanish, and Vietnamese.",ACM Trans. Asian Lang. Inf. Process.,2014,Journal Articles,timeformorelanguagestemporaltaggingofarabicitalianspanishandvietnamese2014,,Time Languages Temporal Tagging Arabic Italian Spanish Vietnamese
2342,"Imed Zitouni, Yassine Benajiba",Aligned-Parallel-Corpora Based Semi-Supervised Learning for Arabic Mention Detection.,IEEE ACM Trans. Audio Speech Lang. Process.,2014,Journal Articles,alignedparallelcorporabasedsemisupervisedlearningforarabicmentiondetection2014,,AlignedParallelCorpora Based SemiSupervised Learning Arabic Mention Detection
2343,"Mohamed Mohandes, Mohamed A. Deriche, Junzhao Liu",Image-Based and Sensor-Based Approaches to Arabic Sign Language Recognition.,IEEE Trans. Hum. Mach. Syst.,2014,Journal Articles,imagebasedandsensorbasedapproachestoarabicsignlanguagerecognition2014,98.0,ImageBased SensorBased Approaches Arabic Sign Language Recognition
2344,"Abeer Al Arfaj, AbdulMalik Al-Salman",Towards Ontology Construction from Arabic Texts-A Proposed Framework.,CIT,2014,Conference and Workshop Papers,towardsontologyconstructionfromarabictextsaproposedframework2014,,Towards Ontology Construction Arabic TextsA Proposed Framework
2345,"Mohamed Mohandes, Junzhao Liu, Mohamed A. Deriche",A survey of image-based Arabic sign language recognition.,SSD,2014,Conference and Workshop Papers,asurveyofimagebasedarabicsignlanguagerecognition2014,,survey imagebased Arabic sign language recognition
2346,"Jennifer Biggs, Michael Broughton",OCR and Automated Translation for the Navigation of non-English Handsets - A Feasibility Study with Arabic.,ALTA,2014,Conference and Workshop Papers,ocrandautomatedtranslationforthenavigationofnonenglishhandsetsafeasibilitystudywitharabic2014,,OCR Automated Translation Navigation nonEnglish Handsets Feasibility Study Arabic
2347,"Heba Elfardy, Mohamed Al-Badrashiny, Mona T. Diab",AIDA - Identifying Code Switching in Informal Arabic Text.,CodeSwitch@EMNLP,2014,Conference and Workshop Papers,aidaidentifyingcodeswitchingininformalarabictext2014,,AIDA Identifying Code Switching Informal Arabic Text
2348,"Ramy Eskander, Mohamed Al-Badrashiny, Nizar Habash, Owen Rambow",Foreign Words and the Automatic Processing of Arabic Social Media Text Written in Roman Script.,CodeSwitch@EMNLP,2014,Conference and Workshop Papers,foreignwordsandtheautomaticprocessingofarabicsocialmediatextwritteninromanscript2014,39.0,Foreign Words Automatic Processing Arabic Social Text Written Roman Script
2349,"Fatiha Sadat, Farzindar Kazemi, Atefeh Farzindar",Automatic Identification of Arabic Language Varieties and Dialects in Social Media.,SocialNLP@COLING,2014,Conference and Workshop Papers,automaticidentificationofarabiclanguagevarietiesanddialectsinsocialmedia2014,83.0,Automatic Identification Arabic Language Varieties Dialects Social
2350,"Will Monroe, Spence Green, Christopher D. Manning",Word Segmentation of Informal Arabic with Domain Adaptation.,ACL,2014,Conference and Workshop Papers,wordsegmentationofinformalarabicwithdomainadaptation2014,,Word Segmentation Informal Arabic Domain Adaptation
2351,"Rania Al-Sabbagh, Roxana Girju, Jana Diesner",Interactive Annotation for Event Modality in Modern Standard and Egyptian Arabic Tweets.,LAW@COLING,2014,Conference and Workshop Papers,interactiveannotationforeventmodalityinmodernstandardandegyptianarabictweets2014,,Interactive Annotation Event Modality Egyptian Arabic Tweets
2352,Mohamed A. Ali,An Efficient Segmentation Algorithm for Arabic Handwritten Characters Recognition System.,AECIA,2014,Conference and Workshop Papers,anefficientsegmentationalgorithmforarabichandwrittencharactersrecognitionsystem2014,,Efficient Segmentation Algorithm Arabic Handwritten Characters Recognition System
2353,"Alaa Tharwat, Tarek Gaber, Aboul Ella Hassanien, Mohamed K. Shahin, Basma Refaat",SIFT-Based Arabic Sign Language Recognition System.,AECIA,2014,Conference and Workshop Papers,siftbasedarabicsignlanguagerecognitionsystem2014,,SIFTBased Arabic Sign Language Recognition System
2354,"Nora Al-Twairesh, Hend S. Al-Khalifa, AbdulMalik S. Al-Salman",Subjectivity and sentiment analysis of Arabic - Trends and challenges.,AICCSA,2014,Conference and Workshop Papers,subjectivityandsentimentanalysisofarabictrendsandchallenges2014,42.0,Subjectivity sentiment analysis Arabic Trends challenges
2355,"Kholoud Alsmearat, Mahmoud Al-Ayyoub, Riyad Al-Shalabi",An extensive study of the Bag-of-Words approach for gender identification of Arabic articles.,AICCSA,2014,Conference and Workshop Papers,anextensivestudyofthebagofwordsapproachforgenderidentificationofarabicarticles2014,,extensive study BagofWords approach gender identification Arabic articles
2356,"Yahya O. Mohamed Elhadj, Ahmed Abdelali, Rachid Bouziane, Adel Ammar",Revisiting Arabic Part of Speech Tagsets.,AICCSA,2014,Conference and Workshop Papers,revisitingarabicpartofspeechtagsets2014,,Revisiting Arabic Speech Tagsets
2357,"Doaa Gamal, Mohsen A. Rashwan, Sherif Mahdy Abdou",Emotion conversion for expressive Arabic text to speech.,AICCSA,2014,Conference and Workshop Papers,emotionconversionforexpressivearabictexttospeech2014,,Emotion conversion expressive Arabic text speech
2358,"Afnan Al Hindi, Mansour Alsulaiman, Ghulam Muhammad, Saad Alkahtani",Automatic pronunciation error detection of nonnative Arabic Speech.,AICCSA,2014,Conference and Workshop Papers,automaticpronunciationerrordetectionofnonnativearabicspeech2014,,Automatic pronunciation error detection nonnative Arabic Speech
2359,"Nabil Khoufi, Chafik Aloulou, Lamia Hadrich Belguith",Chunking Arabic texts using Conditional Random Fields.,AICCSA,2014,Conference and Workshop Papers,chunkingarabictextsusingconditionalrandomfields2014,,Chunking Arabic texts Conditional Random Fields
2360,"Attia Nehar, Abdelkader Benmessaoud, Hadda Cherroun, Djelloul Ziadi",Subsequence kernels-based Arabic text classification.,AICCSA,2014,Conference and Workshop Papers,subsequencekernelsbasedarabictextclassification2014,,Subsequence kernelsbased Arabic text classification
2361,"Haneen Ta&apos;amneh, Ehsan Abu Keshek, Manar Bani Issa, Mahmoud Al-Ayyoub, Yaser Jararweh",Compression-based arabic text classification.,AICCSA,2014,Conference and Workshop Papers,compressionbasedarabictextclassification2014,,Compressionbased arabic text classification
2362,"Jaffar Atwan, Masnizah Mohd, Ghassan Kanaan, Qusay Walid Bsoul",Impact of Stemmer on Arabic Text Retrieval.,AIRS,2014,Conference and Workshop Papers,impactofstemmeronarabictextretrieval2014,7.0,Impact Stemmer Arabic Text Retrieval
2363,"Qusay Walid Bsoul, Eiman Al-Shamari, Masnizah Mohd, Jaffar Atwan",Distance Measures and Stemming Impact on ‎Arabic Document Clustering.,AIRS,2014,Conference and Workshop Papers,distancemeasuresandstemmingimpacton‎arabicdocumentclustering2014,,Distance Measures Stemming Impact ‎Arabic Document Clustering
2364,"Nazlia Omar, Mohammed Albared, Tareq Al-Moslmi, Adel Al-Shabi",A Comparative Study of Feature Selection and Machine Learning Algorithms for Arabic Sentiment Classification.,AIRS,2014,Conference and Workshop Papers,acomparativestudyoffeatureselectionandmachinelearningalgorithmsforarabicsentimentclassification2014,,Comparative Study Feature Selection Machine Learning Algorithms Arabic Sentiment Classification
2365,"Vito Pirrelli, Ouafae Nahli, Federico Boschetti, Riccardo Del Gratta, Claudia Marzi",Computational Linguistics and Language Physiology - Insights from Arabic NLP and Cooperative Editing.,AIUCD,2014,Conference and Workshop Papers,computationallinguisticsandlanguagephysiologyinsightsfromarabicnlpandcooperativeediting2014,,Computational Linguistics Language Physiology Insights Arabic NLP Cooperative Editing
2366,"Saleh Aly, Safaa Mohammed",Arabic Sign Language Recognition Using Spatio-Temporal Local Binary Patterns and Support Vector Machine.,AMLTA,2014,Conference and Workshop Papers,arabicsignlanguagerecognitionusingspatiotemporallocalbinarypatternsandsupportvectormachine2014,12.0,Arabic Sign Language Recognition SpatioTemporal Local Binary Patterns Support Vector Machine
2367,"Marwa Amara, Kamel Zidi",Arabic Text Recognition Based on Neuro-Genetic Feature Selection Approach.,AMLTA,2014,Conference and Workshop Papers,arabictextrecognitionbasedonneurogeneticfeatureselectionapproach2014,,Arabic Text Recognition Based NeuroGenetic Feature Selection Approach
2368,"Marwa Amara, Kamel Zidi, Salah Zidi, Khaled Ghédira",Arabic Character Recognition Based M-SVM - Review.,AMLTA,2014,Conference and Workshop Papers,arabiccharacterrecognitionbasedmsvmreview2014,,Arabic Character Recognition Based MSVM Review
2369,Michael N. Nawar,Improving Arabic Tokenization and POS Tagging Using Morphological Analyzer.,AMLTA,2014,Conference and Workshop Papers,improvingarabictokenizationandpostaggingusingmorphologicalanalyzer2014,,Improving Arabic Tokenization POS Tagging Morphological Analyzer
2370,"Marwa Rashad, Noura A. Semary",Isolated Printed Arabic Character Recognition Using KNN and Random Forest Tree Classifiers.,AMLTA,2014,Conference and Workshop Papers,isolatedprintedarabiccharacterrecognitionusingknnandrandomforesttreeclassifiers2014,,Isolated Printed Arabic Character Recognition KNN Random Forest Tree Classifiers
2371,"Amani T. Jamal, Nicola Nobile, Ching Y. Suen",End-Shape Recognition for Arabic Handwritten Text Segmentation.,ANNPR,2014,Conference and Workshop Papers,endshaperecognitionforarabichandwrittentextsegmentation2014,,EndShape Recognition Arabic Handwritten Text Segmentation
2372,"Ahmed T. Sahlol, Ching Y. Suen, Mohammed R. Elbasyoni, Abdelhay A. Sallam",Investigating of Preprocessing Techniques and Novel Features in Recognition of Handwritten Arabic Characters.,ANNPR,2014,Conference and Workshop Papers,investigatingofpreprocessingtechniquesandnovelfeaturesinrecognitionofhandwrittenarabiccharacters2014,21.0,Investigating Preprocessing Techniques Novel Features Recognition Handwritten Arabic Characters
2373,"Saeed Albukhitan, Tarek Helmy, Muhammed Al-Mulhem",Semantic Annotation Tool for Annotating Arabic Web Documents.,ANT/SEIT,2014,Conference and Workshop Papers,semanticannotationtoolforannotatingarabicwebdocuments2014,20.0,Semantic Annotation Tool Annotating Arabic Web Documents
2374,"Ihsen Alouani, Mazen A. R. Saghir, Smaïl Niar",ARABICA - A Reconfigurable Arithmetic Block for ISA Customization.,ARC,2014,Conference and Workshop Papers,arabicaareconfigurablearithmeticblockforisacustomization2014,,ARABICA Reconfigurable Arithmetic Block ISA Customization
2375,"Samia Snoussi Maddouri, Fethi Ghazouani, Fadoua Bouafif Samoud",Text lines and PAWs segmentation of handwritten Arabic document by two hybrid methods.,ATSIP,2014,Conference and Workshop Papers,textlinesandpawssegmentationofhandwrittenarabicdocumentbytwohybridmethods2014,,Text lines PAWs segmentation handwritten Arabic document hybrid methods
2376,"Amal Ramzi, Ammar T. Zahary",Online Arabic handwritten character recognition using online-offline feature extraction and back-propagation neural network.,ATSIP,2014,Conference and Workshop Papers,onlinearabichandwrittencharacterrecognitionusingonlineofflinefeatureextractionandbackpropagationneuralnetwork2014,,Online Arabic handwritten character recognition onlineoffline feature extraction backpropagation neural network
2377,"Ilyes Rebai, Yassine Ben Ayed",Statistical parametric speech synthesis for Arabic language using ANN.,ATSIP,2014,Conference and Workshop Papers,statisticalparametricspeechsynthesisforarabiclanguageusingann2014,,Statistical parametric speech synthesis Arabic language ANN
2378,"Elyes Zarrouk, Yassine Benayed, Faïez Gargouri",Dynamic Bayesian networks for Arabic phonemes recognition.,ATSIP,2014,Conference and Workshop Papers,dynamicbayesiannetworksforarabicphonemesrecognition2014,4.0,Dynamic Bayesian networks Arabic phonemes recognition
2379,"Ghassan Kbar, Wathiq Mansoor",E-HRM and Outsourcing For Arabic Countries and Large Organisations.,BCS International IT Conferenc,2014,Conference and Workshop Papers,ehrmandoutsourcingforarabiccountriesandlargeorganisations2014,,EHRM Outsourcing Arabic Countries Organisations
2380,"C. Anton Rytting, Paul Rodrigues 0001, Tim Buckwalter, Valerie Novak, Aric Bills, Noah H. Silbert, Mohini Madgavkar",ArCADE - An Arabic Corpus of Auditory Dictation Errors.,BEA@ACL,2014,Conference and Workshop Papers,arcadeanarabiccorpusofauditorydictationerrors2014,,ArCADE Arabic Corpus Auditory Dictation Errors
2381,"Kfir Bar, Yaacov Choueka, Nachum Dershowitz",Matching Phrases for Arabic-to-English Example-Based Translation System.,"Language, Culture, Computation",2014,Conference and Workshop Papers,matchingphrasesforarabictoenglishexamplebasedtranslationsystem2014,,Matching Phrases ArabictoEnglish ExampleBased Translation System
2382,"Kfir Bar, Mona T. Diab, Abdelati Hawwari",Arabic Multiword Expressions.,"Language, Culture, Computation",2014,Conference and Workshop Papers,arabicmultiwordexpressions2014,7.0,Arabic Multiword Expressions
2383,"Nachum Dershowitz, Andrey Rosenberg",Arabic Character Recognition.,"Language, Culture, Computation",2014,Conference and Workshop Papers,arabiccharacterrecognition2014,,Arabic Character Recognition
2384,"Hady ElSahar, Samhaa R. El-Beltagy",A Fully Automated Approach for Arabic Slang Lexicon Extraction from Microblogs.,CICLing,2014,Conference and Workshop Papers,afullyautomatedapproachforarabicslanglexiconextractionfrommicroblogs2014,49.0,Automated Approach Arabic Slang Lexicon Extraction Microblogs
